,,mass,airspeed,lift,cl,CDind,CDff,e,wing_l,fs_v,Cd0,Cd,drag,power,solar_power
E387D,79,7.0,17.0,68.67,0.3018358447234968,0.0015272,0.0015313,0.9921,68.67,17.0,0.030150064737331828,0.03167726473733183,7.206823866480427,376.97232532359146,168
E387D,80,8.0,17.0,78.48,0.3449552511125678,0.0019941,0.0020003,0.9921,78.48,17.0,0.03222402800066179,0.03421812800066179,7.78489000190813,407.2096308690406,168
E387D,81,9.0,17.0,88.29,0.3880746575016388,0.002523,0.0025322,0.9921,88.29,17.0,0.03427728656772379,0.036800286567723786,8.372351139807714,437.93836731301883,168
E387D,82,10.0,17.0,98.10000000000001,0.43119406389070974,0.0031138,0.0031268,0.9921,98.10000000000001,17.0,0.03624004665347359,0.03935384665347359,8.953305900992804,468.32677020577745,168
E387D,83,11.0,17.0,107.91000000000001,0.4743134702797807,0.0037662,0.0037843,0.9921,107.91000000000001,17.0,0.03805291277771238,0.04181911277771238,9.514173099872245,497.66443907024046,168
E387D,84,12.0,17.0,117.72,0.5174328766688516,0.0044801,0.0045048,0.9921,117.72,17.0,0.039666887765086714,0.044146987765086715,10.043782747558174,525.3670975645814,168
E387D,85,13.0,17.0,127.53,0.5605522830579226,0.0052554,0.0052884,0.9921,127.53,17.0,0.041043372745088555,0.046298772745088555,10.533330550311979,550.9742134009341,168
E387D,86,14.0,17.0,137.34,0.6036716894469936,0.0060919,0.0061351,0.9921,137.34,17.0,0.04215416715205528,0.048246067152055275,10.976355158767287,574.1478083047504,168
E387D,87,15.0,17.0,147.15,0.6467910958360645,0.0069894,0.0070452,0.9921,147.15,17.0,0.04298146872516964,0.04997086872516964,11.368760918706982,594.6736480554422,168
E387D,88,5.0,18.0,49.050000000000004,0.19230722911175172,0.0006203,0.0006214,0.9921,49.050000000000004,18.0,0.025361751424318447,0.025982051424318447,6.626997998199234,367.03373528488066,168
E387D,89,6.0,18.0,58.86,0.23076867493410202,0.000893,0.0008949,0.9921,58.86,18.0,0.026903963739538135,0.027796963739538137,7.0899106482993215,392.671974367347,168
E387D,90,7.0,18.0,68.67,0.26923012075645236,0.0012153,0.0012182,0.9921,68.67,18.0,0.028616574495834667,0.029831874495834666,7.60893623593515,421.4180069133314,168
E387D,91,8.0,18.0,78.48,0.3076915665788027,0.001587,0.0015913,0.9921,78.48,18.0,0.030430112581114596,0.032017112581114594,8.166304404454149,452.2876285543836,168
E387D,92,9.0,18.0,88.29,0.3461530124011531,0.002008,0.0020143,0.9921,88.29,18.0,0.032281689125743425,0.03428968912574343,8.745949174070521,484.39103117929034,168
E387D,93,10.0,18.0,98.10000000000001,0.38461445822350343,0.0024783,0.0024872,0.9921,98.10000000000001,18.0,0.03411499750254557,0.03659329750254557,9.333508941865231,516.9328029340743,168
E387D,94,11.0,18.0,107.91000000000001,0.42307590404585377,0.0029978,0.00301,0.9921,107.91000000000001,18.0,0.03588031332680437,0.038878113326804374,9.91627546966315,549.2091029351899,168
E387D,95,12.0,18.0,117.72,0.46153734986820405,0.0035664,0.0035829,0.9921,117.72,18.0,0.037534494456262106,0.0411008944562621,10.483219390094476,580.6090739129247,168
E387D,96,13.0,18.0,127.53,0.4999987956905544,0.004184,0.0042059,0.9921,127.53,18.0,0.039040980991119995,0.043224980991119995,11.024990206594753,610.6148422114017,168
E387D,97,14.0,18.0,137.34,0.5384602415129047,0.0048505,0.004879,0.9921,137.34,18.0,0.04036979527403816,0.04522029527403816,11.533916293404847,638.8015177885761,168
E387D,98,15.0,18.0,147.15,0.5769216873352551,0.0055658,0.0056024,0.9921,147.15,18.0,0.04149754189013568,0.04706334189013568,12.004004895570969,664.8371942162382,168
E387D,99,5.0,19.0,49.050000000000004,0.17259706989531176,0.0004997,0.0005005,0.9921,49.050000000000004,19.0,0.024661881454733504,0.025161581454733503,7.150617163450479,418.03608032479724,168
E387D,100,6.0,19.0,58.86,0.20711648387437412,0.0007194,0.0007208,0.9921,58.86,19.0,0.025930691546498918,0.026650091546498916,7.573633730564732,442.7662796330151,168
E387D,101,7.0,19.0,68.67,0.24163589785343648,0.0009791,0.0009812,0.9921,68.67,19.0,0.027373720934628563,0.028352820934628563,8.057528831092322,471.0555316638587,168
E387D,102,8.0,19.0,78.48,0.2761553118324988,0.0012786,0.0012817,0.9921,78.48,19.0,0.028937574619395216,0.030216174619395218,8.58707141424997,502.01340575615194,168
E387D,103,9.0,19.0,88.29,0.3106747258115612,0.0016179,0.0016223,0.9921,88.29,19.0,0.030573128557185164,0.03219102855718516,9.148301020913344,534.823751991857,168
E387D,104,10.0,19.0,98.10000000000001,0.3451941397906235,0.0019969,0.0020031,0.9921,98.10000000000001,19.0,0.0322355296604982,0.0342324296604982,9.728442527245047,568.7397169774026,168
E387D,105,11.0,19.0,107.91000000000001,0.3797135537696859,0.0024156,0.0024241,0.9921,107.91000000000001,19.0,0.03388419579794762,0.036299795797947614,10.315962982275948,603.0870666561324,168
E387D,106,12.0,19.0,117.72,0.41423296774874824,0.002874,0.0028854,0.9921,117.72,19.0,0.03548281579426022,0.03835681579426022,10.900543189114524,637.2625249020797,168
E387D,107,13.0,19.0,127.53,0.44875238172781057,0.003372,0.003387,0.9921,127.53,19.0,0.036999349430276315,0.040371349430276315,11.47304928615617,670.7321121137453,168
E387D,108,14.0,19.0,137.34,0.48327179570687295,0.0039094,0.0039288,0.9921,137.34,19.0,0.03840602744294972,0.04231542744294972,12.025532747083226,703.0311452140962,168
E387D,109,15.0,19.0,147.15,0.5177912096859353,0.0044863,0.0045111,0.9921,147.15,19.0,0.03967935152534776,0.04416565152534776,12.551344056027636,733.7708832754619,168
E387D,110,5.0,20.0,49.050000000000004,0.1557688555805189,0.000407,0.0004077,0.9921,49.050000000000004,20.0,0.024123676687041528,0.02453067668704153,7.724456130946038,475.3511465197562,168
